384,"Central Equatoria","Lainya","Miteng"
385,"Central Equatoria","Yei","Kirikva"
386,"Central Equatoria","Yei","Kelego"
387,"Central Equatoria","Yei","Sajo"
388,"Central Equatoria","Lainya","Mura"
389,"Central Equatoria","Yei","Yagisu"
390,"Central Equatoria","Yei","Rebur"
391,"Central Equatoria","Lainya","Metameru"
392,"Central Equatoria","Lainya","Baranga"
393,"Central Equatoria","Lainya","Jome"
394,"Central Equatoria","Lainya","Gwonkolok"
395,"Central Equatoria","Lainya","Moyang"
396,"Central Equatoria","Juba","Rogala"
397,"Central Equatoria","Yei","Nyakuru"
398,"Central Equatoria","Yei","Baranga"
399,"Central Equatoria","Lainya","Rume"
400,"Central Equatoria","Lainya","Nyarachu"
401,"Central Equatoria","Lainya","Sadim"
402,"Central Equatoria","Yei","Buri"
403,"Central Equatoria","Lainya","Malewo"
404,"Central Equatoria","Juba","Kainye"
405,"Central Equatoria","Juba","Fagar"
406,"Central Equatoria","Lainya","Iindi"
407,"Central Equatoria","Lainya","Logobero"
408,"Central Equatoria","Juba","Samba"
409,"Central Equatoria","Lainya","Luri"
410,"Central Equatoria","Lainya","Manta"
411,"Central Equatoria","Yei","Audo Kabo"
412,"Central Equatoria","Lainya","Keni"
413,"Central Equatoria","Juba","Tukala"
414,"Central Equatoria","Lainya","Morsak"
415,"Central Equatoria","Lainya","Moje"
416,"Central Equatoria","Yei","Mapoko"
417,"Central Equatoria","Juba","Wontambi"
418,"Central Equatoria","Lainya","Kamoja"
419,"Central Equatoria","Lainya","Koya"
420,"Central Equatoria","Lainya","Komojok"
421,"Central Equatoria","Yei","Lokobo"
422,"Central Equatoria","Lainya","Yondoru"
423,"Central Equatoria","Lainya","Metarabat"
424,"Central Equatoria","Juba","Moeru"
425,"Central Equatoria","Lainya","Naiga"
426,"Central Equatoria","Yei","Goli"
427,"Central Equatoria","Lainya","Mingale"
428,"Central Equatoria","Lainya","Mongolobakr"
429,"Central Equatoria","Lainya","Ligi"
430,"Central Equatoria","Lainya","Jolobong"
431,"Central Equatoria","Lainya","Mijibura"
432,"Central Equatoria","Lainya","Enduru"
433,"Central Equatoria","Lainya","Mankaro"
434,"Central Equatoria","Lainya","Dimu 1"
435,"Central Equatoria","Lainya","Uroni"
436,"Central Equatoria","Lainya","Pisakuk"
437,"Central Equatoria","Lainya","Borobat"
438,"Central Equatoria","Lainya","Jubor"
439,"Central Equatoria","Juba","Meregim"
440,"Central Equatoria","Lainya","Nyigo"
441,"Central Equatoria","Lainya","Roronyo"
442,"Central Equatoria","Lainya","Latulele"
443,"Central Equatoria","Yei","Lukpiri"
444,"Central Equatoria","Yei","Ameda"
445,"Central Equatoria","Lainya","Dimu 2"
446,"Central Equatoria","Yei","Pisakuk"
447,"Central Equatoria","Lainya","Biri"
448,"Central Equatoria","Lainya","Loka West"
449,"Central Equatoria","Lainya","Loridian"
450,"Central Equatoria","Lainya","Lomilikin"
451,"Central Equatoria","Lainya","Lobora"
452,"Central Equatoria","Yei","Araka"
453,"Central Equatoria","Yei","Abdullah"
454,"Central Equatoria","Lainya","Dimo"
455,"Central Equatoria","Lainya","Kodaka"
456,"Central Equatoria","Juba","Kit"
457,"Central Equatoria","Lainya","Luga"
458,"Central Equatoria","Lainya","Rego"
459,"Central Equatoria","Lainya","Kengwe"
460,"Central Equatoria","Yei","Kadili"
461,"Central Equatoria","Juba","Koropa"
462,"Central Equatoria","Lainya","Loka"
463,"Central Equatoria","Lainya","Kili"
464,"Central Equatoria","Lainya","Warikango"
465,"Central Equatoria","Lainya","Lalyo"
466,"Central Equatoria","Lainya","Loka Round"
467,"Central Equatoria","Yei","Avokoia"
468,"Central Equatoria","Yei","Ussua"
469,"Central Equatoria","Lainya","Nagitome"
470,"Central Equatoria","Lainya","Layo"
471,"Central Equatoria","Lainya","Jungu"
472,"Central Equatoria","Juba","Juboli"
473,"Central Equatoria","Lainya","Keiro"
474,"Central Equatoria","Juba","Nyaing"
475,"Central Equatoria","Lainya","Waga"
476,"Central Equatoria","Yei","Mundu"
477,"Central Equatoria","Juba","Lagora"
478,"Central Equatoria","Lainya","Lukuruba"
479,"Central Equatoria","Yei","Liga"
480,"Central Equatoria","Yei","Reme"
481,"Central Equatoria","Lainya","Uaga"
482,"Central Equatoria","Lainya","Manati"
483,"Central Equatoria","Lainya","Niaporo"
484,"Central Equatoria","Yei","Marakan"
485,"Central Equatoria","Lainya","Lunyagwa"
486,"Central Equatoria","Juba","River Manya"
487,"Central Equatoria","Lainya","Lokurubang"
488,"Central Equatoria","Juba","Lobonok"
489,"Central Equatoria","Yei","Roue"
490,"Central Equatoria","Lainya","Gado"
491,"Central Equatoria","Yei","River Gali"
492,"Central Equatoria","Lainya","Soka"
493,"Central Equatoria","Yei","Mongwa"
494,"Central Equatoria","Yei","Odio"
495,"Central Equatoria","Yei","Maradu"
496,"Central Equatoria","Yei","Lorumba"
497,"Central Equatoria","Lainya","Bongoriok"
498,"Central Equatoria","Lainya","Lainya"
499,"Central Equatoria","Lainya","Muturu"
500,"Central Equatoria","Lainya","Niarakuj"
501,"Central Equatoria","Lainya","Mari"
502,"Central Equatoria","Juba","Tumbur"
503,"Central Equatoria","Lainya","Jarado"
504,"Central Equatoria","Lainya","Makaia"
505,"Central Equatoria","Lainya","Kinda"
506,"Central Equatoria","Juba","Girn"
507,"Central Equatoria","Juba","Kay"
508,"Central Equatoria","Yei","River Kobwa"
509,"Central Equatoria","Lainya","Wandi"
510,"Central Equatoria","Juba","Lopi"
511,"Central Equatoria","Lainya","Mingasu"
512,"Central Equatoria","Juba","Aru"
513,"Central Equatoria","Lainya","Maniangar"
514,"Central Equatoria","Lainya","Songoma"
515,"Central Equatoria","Lainya","Shamba"
516,"Central Equatoria","Lainya","Loszek"
517,"Central Equatoria","Yei","Mornbigo"
518,"Central Equatoria","Juba","Waraga"
519,"Central Equatoria","Yei","Adio"
520,"Central Equatoria","Lainya","Lokorupo"
521,"Central Equatoria","Juba","Sirsiri"
522,"Central Equatoria","Lainya","Loragwe"
523,"Central Equatoria","Yei","Mizeyra"
524,"Central Equatoria","Juba","Yangwera"
525,"Central Equatoria","Juba","Jala"
526,"Central Equatoria","Lainya","Bereka"
527,"Central Equatoria","Yei","Gumu"
528,"Central Equatoria","Lainya","Moga"
529,"Central Equatoria","Yei","Lukupiri"
530,"Central Equatoria","Juba","Kogi"
531,"Central Equatoria","Juba","Yokwai"
